,Daily_Screen_Time,App_Social_Media_Time,App_Work_Time,App_Entertainment_Time,Phone_Unlocks,Sleep_Duration,Well_Being_Score,Stress_Level,Mood_Rating
149,251.0,37.0,54.0,160.0,141.0,5.8,7.0,10.0,7.0
150,446.0,29.0,127.0,290.0,83.0,4.3,7.0,6.0,5.0
151,546.0,78.0,101.0,367.0,18.0,6.0,8.0,10.0,10.0
152,546.0,222.0,155.0,169.0,68.0,8.8,4.0,7.0,4.0
153,266.0,65.0,17.0,184.0,110.0,7.8,9.0,9.0,3.0
154,393.0,137.0,25.0,231.0,124.0,7.1,8.0,8.0,1.0
155,213.0,8.0,39.0,166.0,147.0,5.7,10.0,5.0,3.0
156,375.0,160.0,11.0,204.0,37.0,9.0,10.0,9.0,8.0
157,68.0,7.0,10.0,51.0,119.0,6.1,9.0,9.0,9.0
158,198.0,24.0,42.0,132.0,66.0,8.0,4.0,8.0,2.0
159,599.0,7.0,43.0,549.0,122.0,7.4,6.0,7.0,4.0
160,557.0,223.0,108.0,226.0,35.0,8.2,1.0,6.0,4.0
161,580.0,261.0,91.0,228.0,60.0,5.6,4.0,8.0,6.0
162,519.0,29.0,34.0,456.0,126.0,8.6,6.0,1.0,8.0
163,117.0,28.0,9.0,80.0,126.0,5.2,10.0,1.0,4.0
164,465.0,38.0,97.0,330.0,53.0,8.5,2.0,5.0,5.0
165,293.0,113.0,25.0,155.0,60.0,5.2,6.0,6.0,5.0
166,470.0,60.0,8.0,402.0,143.0,7.1,8.0,10.0,9.0
167,442.0,128.0,72.0,242.0,111.0,4.2,2.0,3.0,5.0
168,451.0,95.0,131.0,225.0,98.0,6.6,10.0,1.0,3.0
169,593.0,193.0,156.0,244.0,71.0,4.8,7.0,3.0,2.0
170,442.0,87.0,48.0,307.0,13.0,8.1,1.0,1.0,10.0
171,196.0,19.0,58.0,119.0,102.0,6.0,9.0,2.0,3.0
172,152.0,19.0,14.0,119.0,144.0,4.2,1.0,1.0,5.0
173,486.0,149.0,42.0,295.0,97.0,7.8,10.0,8.0,8.0
174,96.0,2.0,7.0,87.0,61.0,4.6,8.0,2.0,1.0
175,205.0,34.0,15.0,156.0,53.0,4.9,7.0,5.0,7.0
176,329.0,20.0,78.0,231.0,139.0,8.5,3.0,2.0,5.0
177,571.0,131.0,112.0,328.0,58.0,7.6,2.0,9.0,8.0
178,469.0,50.0,70.0,349.0,56.0,6.3,1.0,6.0,1.0
179,553.0,70.0,75.0,408.0,12.0,4.4,1.0,3.0,3.0
180,356.0,41.0,38.0,277.0,34.0,7.4,6.0,6.0,2.0
181,85.0,16.0,18.0,51.0,53.0,6.9,9.0,3.0,7.0
182,518.0,231.0,120.0,167.0,95.0,4.6,10.0,10.0,4.0
183,247.0,59.0,28.0,160.0,65.0,4.7,1.0,1.0,7.0
184,513.0,184.0,87.0,242.0,31.0,6.4,1.0,1.0,7.0
185,499.0,100.0,140.0,259.0,28.0,6.7,8.0,3.0,9.0
186,153.0,23.0,19.0,111.0,45.0,9.0,2.0,1.0,10.0
187,210.0,69.0,60.0,81.0,106.0,6.2,6.0,8.0,1.0
188,191.0,86.0,54.0,51.0,60.0,6.3,8.0,9.0,6.0
189,471.0,178.0,96.0,197.0,119.0,6.3,3.0,2.0,3.0
190,78.0,33.0,22.0,23.0,57.0,5.6,6.0,6.0,4.0
191,397.0,133.0,5.0,259.0,124.0,5.5,2.0,9.0,4.0
192,448.0,2.0,47.0,399.0,131.0,4.4,5.0,1.0,3.0
193,181.0,5.0,46.0,130.0,106.0,6.3,8.0,5.0,9.0
194,341.0,52.0,89.0,200.0,83.0,6.1,5.0,8.0,9.0
195,455.0,81.0,131.0,243.0,130.0,8.2,10.0,9.0,5.0
196,74.0,2.0,16.0,56.0,16.0,8.5,4.0,1.0,7.0
197,352.0,118.0,9.0,225.0,110.0,4.9,5.0,3.0,8.0
198,496.0,97.0,124.0,275.0,128.0,8.5,5.0,7.0,3.0
199,95.0,19.0,4.0,72.0,148.0,5.4,7.0,1.0,5.0
200,332.0,1.0,14.0,317.0,73.0,8.8,6.0,7.0,3.0
201,504.0,122.0,11.0,371.0,18.0,4.2,1.0,6.0,9.0
202,260.0,116.0,53.0,91.0,122.0,4.7,9.0,6.0,3.0
203,112.0,45.0,25.0,42.0,124.0,8.8,5.0,6.0,7.0
204,387.0,51.0,35.0,301.0,27.0,4.7,8.0,2.0,9.0
205,130.0,60.0,17.0,53.0,47.0,4.2,4.0,4.0,10.0
206,196.0,56.0,2.0,138.0,131.0,7.6,5.0,8.0,1.0
207,106.0,35.0,14.0,57.0,76.0,7.3,1.0,5.0,4.0
208,514.0,37.0,88.0,389.0,61.0,7.6,10.0,6.0,4.0
209,349.0,130.0,99.0,120.0,130.0,7.7,7.0,3.0,10.0
210,508.0,110.0,56.0,342.0,147.0,7.0,7.0,6.0,5.0
211,260.0,91.0,54.0,115.0,104.0,5.8,6.0,7.0,10.0
212,503.0,79.0,114.0,310.0,12.0,8.9,6.0,2.0,7.0
213,490.0,194.0,30.0,266.0,91.0,7.0,4.0,1.0,1.0
214,588.0,183.0,14.0,391.0,22.0,8.4,6.0,2.0,3.0
215,200.0,20.0,49.0,131.0,38.0,5.5,6.0,6.0,5.0
216,79.0,19.0,4.0,56.0,75.0,5.0,1.0,10.0,5.0
217,346.0,65.0,13.0,268.0,73.0,6.7,1.0,6.0,8.0
218,121.0,34.0,17.0,70.0,18.0,6.7,7.0,2.0,10.0
219,385.0,65.0,16.0,304.0,112.0,5.9,9.0,7.0,4.0
220,288.0,11.0,78.0,199.0,61.0,6.7,2.0,4.0,6.0
221,549.0,222.0,117.0,210.0,103.0,6.9,4.0,1.0,6.0
222,588.0,147.0,109.0,332.0,144.0,5.3,6.0,3.0,6.0
223,560.0,195.0,83.0,282.0,28.0,7.6,2.0,4.0,7.0
224,173.0,79.0,40.0,54.0,25.0,7.5,2.0,6.0,10.0
225,207.0,58.0,58.0,91.0,71.0,8.6,8.0,7.0,3.0
226,246.0,61.0,44.0,141.0,76.0,8.8,4.0,7.0,6.0
227,480.0,34.0,120.0,326.0,48.0,6.4,7.0,5.0,3.0
228,174.0,61.0,29.0,84.0,14.0,4.6,8.0,8.0,6.0
229,544.0,103.0,135.0,306.0,107.0,8.4,6.0,8.0,6.0
230,432.0,164.0,6.0,262.0,26.0,8.6,7.0,6.0,6.0
231,564.0,15.0,16.0,533.0,54.0,7.8,10.0,3.0,6.0
232,131.0,0.0,31.0,100.0,141.0,4.8,5.0,5.0,9.0
233,377.0,138.0,0.0,239.0,58.0,7.2,6.0,8.0,8.0
234,287.0,127.0,34.0,126.0,143.0,5.7,8.0,8.0,2.0
235,426.0,211.0,91.0,124.0,136.0,7.6,2.0,4.0,6.0
236,432.0,183.0,103.0,146.0,20.0,5.4,10.0,7.0,4.0
237,214.0,67.0,56.0,91.0,89.0,5.4,1.0,7.0,9.0
238,590.0,81.0,47.0,462.0,89.0,5.2,10.0,10.0,7.0
239,141.0,62.0,23.0,56.0,148.0,4.9,1.0,5.0,7.0
240,269.0,18.0,39.0,212.0,30.0,7.8,2.0,9.0,6.0
241,423.0,199.0,62.0,162.0,150.0,7.6,4.0,7.0,9.0
242,565.0,172.0,56.0,337.0,118.0,7.2,3.0,5.0,2.0
243,155.0,17.0,2.0,136.0,141.0,4.7,9.0,4.0,1.0
244,227.0,8.0,11.0,208.0,44.0,5.3,10.0,8.0,2.0
245,251.0,32.0,42.0,177.0,89.0,6.6,3.0,10.0,9.0
246,113.0,45.0,20.0,48.0,58.0,4.8,1.0,8.0,10.0
247,534.0,92.0,33.0,409.0,42.0,5.6,3.0,9.0,1.0
248,149.0,48.0,7.0,94.0,133.0,7.9,5.0,5.0,5.0
249,186.0,15.0,35.0,136.0,62.0,8.8,6.0,2.0,7.0
250,102.0,45.0,21.0,36.0,108.0,5.9,6.0,7.0,2.0
251,538.0,225.0,133.0,180.0,21.0,5.2,6.0,3.0,5.0
252,425.0,24.0,110.0,291.0,28.0,7.1,7.0,5.0,1.0
253,65.0,8.0,17.0,40.0,133.0,9.0,9.0,8.0,4.0
254,166.0,42.0,31.0,93.0,107.0,4.6,5.0,1.0,9.0
255,130.0,23.0,4.0,103.0,87.0,8.5,3.0,8.0,8.0
256,174.0,80.0,12.0,82.0,105.0,5.7,7.0,8.0,9.0
257,368.0,102.0,65.0,201.0,87.0,5.2,2.0,5.0,10.0
258,442.0,162.0,0.0,280.0,30.0,6.3,3.0,3.0,7.0
259,335.0,143.0,40.0,152.0,125.0,4.1,4.0,8.0,2.0
260,446.0,80.0,38.0,328.0,53.0,6.6,9.0,3.0,7.0
261,487.0,69.0,18.0,400.0,47.0,7.3,2.0,1.0,2.0
262,354.0,137.0,8.0,209.0,72.0,7.4,4.0,4.0,3.0
263,255.0,1.0,27.0,227.0,26.0,5.9,8.0,5.0,10.0
264,417.0,145.0,74.0,198.0,134.0,4.0,5.0,6.0,1.0
265,300.0,18.0,33.0,249.0,104.0,5.5,2.0,6.0,9.0
266,252.0,20.0,34.0,198.0,117.0,5.5,7.0,1.0,7.0
267,187.0,86.0,48.0,53.0,40.0,6.5,4.0,10.0,6.0
268,219.0,70.0,20.0,129.0,14.0,5.9,2.0,4.0,1.0
269,279.0,4.0,8.0,267.0,111.0,5.3,10.0,4.0,5.0
270,600.0,105.0,51.0,444.0,22.0,6.0,3.0,9.0,4.0
271,151.0,56.0,18.0,77.0,15.0,8.2,10.0,6.0,2.0
272,586.0,33.0,103.0,450.0,114.0,5.3,2.0,10.0,10.0
273,254.0,53.0,54.0,147.0,103.0,8.2,3.0,3.0,10.0
274,398.0,25.0,89.0,284.0,16.0,8.1,2.0,1.0,5.0
275,84.0,1.0,12.0,71.0,139.0,7.4,2.0,8.0,8.0
276,582.0,187.0,116.0,279.0,83.0,8.7,7.0,3.0,1.0
277,291.0,43.0,46.0,202.0,126.0,4.9,1.0,4.0,7.0
278,445.0,48.0,67.0,330.0,88.0,7.5,9.0,1.0,2.0
279,64.0,14.0,6.0,44.0,138.0,5.2,5.0,10.0,7.0
280,264.0,113.0,30.0,121.0,42.0,7.7,1.0,10.0,2.0
281,180.0,35.0,12.0,133.0,84.0,6.1,2.0,4.0,10.0
282,573.0,72.0,21.0,480.0,133.0,4.9,4.0,1.0,4.0
283,530.0,113.0,67.0,350.0,52.0,4.2,2.0,4.0,1.0
284,567.0,30.0,54.0,483.0,128.0,8.7,5.0,5.0,7.0
285,396.0,148.0,53.0,195.0,87.0,4.3,10.0,4.0,7.0
286,417.0,19.0,118.0,280.0,103.0,5.5,8.0,10.0,2.0
287,333.0,91.0,64.0,178.0,83.0,6.0,8.0,9.0,5.0
288,559.0,201.0,131.0,227.0,117.0,5.8,8.0,4.0,3.0
289,131.0,53.0,14.0,64.0,115.0,6.8,9.0,4.0,2.0
290,258.0,49.0,67.0,142.0,84.0,7.9,2.0,3.0,7.0
291,564.0,150.0,60.0,354.0,103.0,4.9,7.0,4.0,10.0
292,207.0,21.0,54.0,132.0,147.0,6.2,3.0,1.0,4.0
293,348.0,55.0,4.0,289.0,128.0,6.1,4.0,5.0,10.0
294,266.0,106.0,45.0,115.0,127.0,8.3,4.0,7.0,1.0
295,225.0,25.0,5.0,195.0,10.0,4.3,10.0,6.0,9.0
296,184.0,27.0,12.0,145.0,113.0,7.4,10.0,9.0,6.0
297,582.0,16.0,9.0,557.0,56.0,4.1,9.0,4.0,2.0
298,111.0,9.0,18.0,84.0,42.0,5.9,2.0,8.0,5.0
299,411.0,91.0,97.0,223.0,18.0,6.2,10.0,3.0,4.0
300,422.0,175.0,123.0,124.0,84.0,7.3,1.0,2.0,7.0
301,521.0,163.0,59.0,299.0,59.0,5.4,6.0,10.0,7.0
302,157.0,49.0,27.0,81.0,105.0,6.1,10.0,6.0,10.0
303,188.0,18.0,9.0,161.0,31.0,8.9,7.0,4.0,9.0
304,506.0,89.0,92.0,325.0,148.0,6.9,7.0,10.0,6.0
305,573.0,129.0,105.0,339.0,117.0,6.7,9.0,5.0,5.0
306,78.0,16.0,18.0,44.0,81.0,7.4,1.0,8.0,5.0
307,131.0,4.0,7.0,120.0,17.0,8.7,5.0,3.0,9.0
308,62.0,8.0,7.0,47.0,71.0,7.5,6.0,4.0,8.0
309,570.0,22.0,110.0,438.0,57.0,6.7,6.0,9.0,8.0
310,493.0,13.0,46.0,434.0,38.0,6.3,3.0,5.0,3.0
311,240.0,82.0,30.0,128.0,82.0,7.0,4.0,8.0,5.0
312,520.0,131.0,38.0,351.0,33.0,8.2,2.0,4.0,2.0
313,60.0,19.0,9.0,32.0,87.0,6.1,10.0,1.0,2.0
314,62.0,13.0,1.0,48.0,106.0,8.5,5.0,3.0,6.0
315,87.0,7.0,6.0,74.0,63.0,7.7,10.0,4.0,6.0
316,492.0,190.0,76.0,226.0,96.0,5.9,3.0,7.0,10.0
317,251.0,7.0,10.0,234.0,43.0,8.5,3.0,8.0,4.0
318,294.0,20.0,25.0,249.0,57.0,6.7,10.0,1.0,10.0
319,107.0,44.0,18.0,45.0,35.0,5.1,7.0,1.0,3.0
320,564.0,209.0,136.0,219.0,92.0,7.7,6.0,4.0,2.0
321,342.0,93.0,26.0,223.0,18.0,5.0,10.0,3.0,3.0
322,412.0,18.0,113.0,281.0,36.0,4.9,3.0,3.0,1.0
323,541.0,200.0,91.0,250.0,75.0,7.4,10.0,7.0,6.0
324,305.0,124.0,65.0,116.0,41.0,7.2,1.0,6.0,10.0
325,369.0,151.0,33.0,185.0,41.0,4.6,10.0,7.0,1.0
326,200.0,98.0,40.0,62.0,28.0,4.4,3.0,4.0,9.0
327,600.0,185.0,67.0,348.0,19.0,7.6,7.0,1.0,5.0
328,201.0,68.0,51.0,82.0,144.0,5.3,10.0,9.0,9.0
329,105.0,49.0,24.0,32.0,87.0,4.4,6.0,4.0,6.0
330,158.0,25.0,39.0,94.0,81.0,6.8,9.0,2.0,1.0
331,462.0,21.0,33.0,408.0,33.0,5.9,3.0,4.0,9.0
332,173.0,82.0,15.0,76.0,124.0,6.8,4.0,7.0,7.0
333,388.0,34.0,44.0,310.0,30.0,5.4,2.0,8.0,6.0
334,121.0,37.0,5.0,79.0,82.0,4.3,8.0,2.0,9.0
335,536.0,227.0,146.0,163.0,95.0,6.1,2.0,3.0,8.0
336,586.0,285.0,145.0,156.0,71.0,4.9,6.0,9.0,6.0
337,563.0,151.0,129.0,283.0,63.0,4.5,4.0,4.0,10.0
338,182.0,64.0,29.0,89.0,129.0,4.8,3.0,4.0,6.0
339,101.0,43.0,29.0,29.0,107.0,7.5,10.0,8.0,6.0
340,224.0,51.0,12.0,161.0,45.0,4.4,1.0,4.0,8.0
341,477.0,164.0,114.0,199.0,117.0,5.0,6.0,10.0,4.0
342,416.0,26.0,95.0,295.0,37.0,8.4,3.0,6.0,8.0
343,461.0,38.0,138.0,285.0,17.0,8.0,10.0,9.0,9.0
344,322.0,30.0,5.0,287.0,23.0,5.3,2.0,9.0,4.0
345,208.0,86.0,58.0,64.0,48.0,4.5,4.0,10.0,5.0
346,343.0,71.0,98.0,174.0,150.0,6.6,8.0,6.0,10.0
347,352.0,22.0,21.0,309.0,71.0,6.1,9.0,3.0,2.0
348,251.0,107.0,41.0,103.0,132.0,7.9,2.0,2.0,5.0
349,396.0,119.0,51.0,226.0,81.0,4.3,8.0,2.0,7.0
350,134.0,11.0,30.0,93.0,71.0,5.6,9.0,3.0,10.0
351,348.0,45.0,16.0,287.0,41.0,7.7,10.0,7.0,4.0
352,238.0,70.0,17.0,151.0,141.0,7.0,2.0,2.0,6.0
353,94.0,14.0,15.0,65.0,150.0,8.8,4.0,1.0,3.0
354,342.0,24.0,15.0,303.0,103.0,7.7,3.0,5.0,8.0
355,254.0,51.0,43.0,160.0,27.0,8.7,3.0,10.0,2.0
356,91.0,20.0,13.0,58.0,68.0,4.4,4.0,10.0,8.0
357,219.0,23.0,27.0,169.0,11.0,7.8,3.0,1.0,2.0
358,488.0,159.0,123.0,206.0,145.0,7.3,10.0,5.0,5.0
359,111.0,17.0,29.0,65.0,102.0,5.6,9.0,10.0,10.0
360,301.0,11.0,43.0,247.0,89.0,5.2,5.0,10.0,10.0
361,520.0,67.0,63.0,390.0,119.0,5.6,2.0,5.0,8.0
362,70.0,23.0,20.0,27.0,46.0,5.9,7.0,6.0,5.0
